,"NMFHP:(m,n)=(20,10)","NMFHP:(m,n)=(20,20)","NMFHP:(m,n)=(40,20)"
0.25,0.048251784,0.009772483,0.056026412
0.5,0.168156885,0.059087358,0.469525338
0.75,0.604073563,0.634427565,0.99280274
1,0.978917082,0.995503144,1.002212323
1.25,0.998527729,0.995503144,0.998291663
1.5,0.994045295,0.995503144,0.999337173
1.75,0.998527729,0.99890417,0.99959855
2,1,1,1
