,"MWR_II:(m,n)=(20,10)","MWR_II:(m,n)=(20,20)","MWR_II:(m,n)=(40,20)"
0.25,0.099806542,0.099880458,0.199728026
0.5,0.699829198,0.999865773,0.999728026
0.75,0.999865773,0.999783885,0.999783885
1,0.999829198,0.999829198,0.999728026
1.25,0.999829198,0.999847486,0.999728026
1.5,0.999865773,0.999829198,0.999783885
1.75,0.999829198,0.999865773,0.999783885
2,0.999865773,0.999847486,0.999783885
